prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_id,in_token_str
"Deutsch: ""Sonne"" - Deutsch: ""Sonne""
Deutsch: ""Vogel"" - Deutsch: ""Vogel""
Deutsch: ""Segel"" - Deutsch: ""Segel""
Deutsch: ""Blatt"" - Deutsch: ""Blatt""
Deutsch: ""Kamera"" - Deutsch: """,29968,Kamera,10656,camera,29968,Kamera
"Deutsch: ""Buch"" - Deutsch: ""Buch""
Deutsch: ""Stern"" - Deutsch: ""Stern""
Deutsch: ""Berg"" - Deutsch: ""Berg""
Deutsch: ""Pfefferminz"" - Deutsch: ""Pfefferminz""
Deutsch: ""Baum"" - Deutsch: """,29933,Baum,5447,tree,29933,Baum
"Deutsch: ""Gitarre"" - Deutsch: ""Gitarre""
Deutsch: ""Kiste"" - Deutsch: ""Kiste""
Deutsch: ""Topf"" - Deutsch: ""Topf""
Deutsch: ""Wolke"" - Deutsch: ""Wolke""
Deutsch: ""Buch"" - Deutsch: """,29933,Buch,3143,book,29933,Buch
"Deutsch: ""Auto"" - Deutsch: ""Auto""
Deutsch: ""Gras"" - Deutsch: ""Gras""
Deutsch: ""Rohr"" - Deutsch: ""Rohr""
Deutsch: ""Spiegel"" - Deutsch: ""Spiegel""
Deutsch: ""Kamera"" - Deutsch: """,29968,Kamera,10656,camera,29968,Kamera
"Deutsch: ""Tür"" - Deutsch: ""Tür""
Deutsch: ""Knopf"" - Deutsch: ""Knopf""
Deutsch: ""Berg"" - Deutsch: ""Berg""
Deutsch: ""Ventilator"" - Deutsch: ""Ventilator""
Deutsch: ""Spiegel"" - Deutsch: """,5592,Spiegel,19571,mirror,5592,Spiegel
"Deutsch: ""Spiegel"" - Deutsch: ""Spiegel""
Deutsch: ""Karte"" - Deutsch: ""Karte""
Deutsch: ""Zelt"" - Deutsch: ""Zelt""
Deutsch: ""Seife"" - Deutsch: ""Seife""
Deutsch: ""Brot"" - Deutsch: """,29933,Brot,18423,bread,29933,Brot
"Deutsch: ""Mütze"" - Deutsch: ""Mütze""
Deutsch: ""Dose"" - Deutsch: ""Dose""
Deutsch: ""Schiff"" - Deutsch: ""Schiff""
Deutsch: ""Nuss"" - Deutsch: ""Nuss""
Deutsch: ""Baum"" - Deutsch: """,29933,Baum,5447,tree,29933,Baum
"Deutsch: ""Blatt"" - Deutsch: ""Blatt""
Deutsch: ""Auto"" - Deutsch: ""Auto""
Deutsch: ""Mond"" - Deutsch: ""Mond""
Deutsch: ""Pfefferminz"" - Deutsch: ""Pfefferminz""
Deutsch: ""Baum"" - Deutsch: """,29933,Baum,5447,tree,29933,Baum
"Deutsch: ""Buch"" - Deutsch: ""Buch""
Deutsch: ""Teller"" - Deutsch: ""Teller""
Deutsch: ""Fluss"" - Deutsch: ""Fluss""
Deutsch: ""Brot"" - Deutsch: ""Brot""
Deutsch: ""Glocke"" - Deutsch: """,29954,Glocke,22623,bell,29954,Glocke
"Deutsch: ""Blume"" - Deutsch: ""Blume""
Deutsch: ""Katze"" - Deutsch: ""Katze""
Deutsch: ""Stift"" - Deutsch: ""Stift""
Deutsch: ""Karte"" - Deutsch: ""Karte""
Deutsch: ""Wolke"" - Deutsch: """,29956,Wolke,9570,cloud,29956,Wolke
"Deutsch: ""Weste"" - Deutsch: ""Weste""
Deutsch: ""Flügel"" - Deutsch: ""Flügel""
Deutsch: ""Wolke"" - Deutsch: ""Wolke""
Deutsch: ""Gemälde"" - Deutsch: ""Gemälde""
Deutsch: ""Ventilator"" - Deutsch: """,29963,Ventilator,13524,fan,29963,Ventilator
