lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation,blank_prompt_translation_masked,error
de,book,Buch,"A ""book"" is used to read stories. Answer: ""book"".","Ein ""Buch"" wird verwendet, um Geschichten zu lesen. Antwort: ""Buch"".","Ein ""___"" wird verwendet, um Geschichten zu lesen. Antwort: ""Buch"".",no error
de,cloud,Wolke,"A ""cloud"" is a visible mass of condensed water vapor floating in the atmosphere. Answer: ""cloud"".","Eine ""Wolke"" ist eine sichtbare Masse aus kondensiertem Wasserdampf, die in der Atmosphäre schwebt. Antwort: ""Wolke"".","Eine ""___"" ist eine sichtbare Masse aus kondensiertem Wasserdampf, die in der Atmosphäre schwebt. Antwort: ""Wolke"".",no error
de,bag,Tasche,"A ""bag"" is used to carry items. Answer: ""bag"".","Eine ""Tasche"" wird zum Tragen von Gegenständen verwendet. Antwort: ""Tasche"".","Eine ""___"" wird zum Tragen von Gegenständen verwendet. Antwort: ""Tasche"".",no error
de,mouth,Mund,"A ""mouth"" is used to eat food and speak. Answer: ""mouth"".","Ein ""Mund"" wird zum Essen und Sprechen benutzt. Antwort: ""Mund"".","Ein ""___"" wird zum Essen und Sprechen benutzt. Antwort: ""Mund"".",no error
de,soil,Boden,"""A ""soil"" is used for planting trees and crops. Answer: ""soil"".""","""Ein ""Boden"" wird für die Anpflanzung von Bäumen und Nutzpflanzen verwendet. Antwort: ""Boden"".""","""Ein ""___"" wird für die Anpflanzung von Bäumen und Nutzpflanzen verwendet. Antwort: ""Boden"".",no error
de,mountain,Berg,"A ""mountain"" is a large natural elevation of the earth's surface. Answer: ""mountain"".","Ein ""Berg"" ist eine große natürliche Erhebung auf der Erdoberfläche. Antwort: ""Berg"".","Ein ""___"" ist eine große natürliche Erhebung auf der Erdoberfläche. Antwort: ""Berg"".",no error
de,cloth,Tuch,"A ""cloth"" is used to clean surfaces or cover bodies. Answer: ""cloth"".","Ein ""Tuch"" wird verwendet, um Oberflächen zu reinigen oder Körper zu bedecken. Antwort: ""Tuch"".","Ein ""___"" wird verwendet, um Oberflächen zu reinigen oder Körper zu bedecken. Antwort: ""Tuch"".",no error
de,heart,Herz,"A ""heart"" is an organ that pumps blood throughout the body. Answer: ""heart"".","Ein ""Herz"" ist ein Organ, das Blut durch den Körper pumpt. Antwort: ""Herz"".","Ein ""___"" ist ein Organ, das Blut durch den Körper pumpt. Antwort: ""Herz"".",no error
de,hand,Hand,"A ""hand"" is used to grasp or hold objects. Answer: ""hand"".","Eine ""Hand"" wird zum Greifen oder Halten von Gegenständen verwendet. Antwort: ""Hand"".","Eine ""___"" wird zum Greifen oder Halten von Gegenständen verwendet. Antwort: ""Hand"".",no error
de,day,Tag,"A ""day"" is a period of 24 hours, often understood as the time it takes for the Earth to complete one rotation. Answer: ""day"".","Ein ""Tag"" ist ein Zeitraum von 24 Stunden, der oft als die Zeit verstanden wird, die die Erde für eine Umdrehung benötigt. Antwort: ""Tag"".","Ein ""___"" ist ein Zeitraum von 24 Stunden, der oft als die Zeit verstanden wird, die die Erde für eine Umdrehung benötigt. Antwort: ""Tag"".",no error
de,star,Stern,"A ""star"" is a celestial body that shines in the night sky. Answer: ""star"".","Ein ""Stern"" ist ein Himmelskörper, der am Nachthimmel leuchtet. Antwort: ""Stern"".","Ein ""___"" ist ein Himmelskörper, der am Nachthimmel leuchtet. Antwort: ""Stern"".",no error
de,spring,Feder,"A ""spring"" is a device that stores mechanical energy and can be compressed or stretched. Answer: ""spring"".","Eine ""Feder"" ist ein Gerät, das mechanische Energie speichert und gestaucht oder gedehnt werden kann. Antwort: ""Feder"".","Eine ""___"" ist ein Gerät, das mechanische Energie speichert und gestaucht oder gedehnt werden kann. Antwort: ""Feder"".",no error
